时间组,人数
00:00-00:09,11
00:10-00:19,16
00:20-00:29,3
00:30-00:39,2
00:40-00:49,1
00:50-00:59,0
01:00-01:09,0
01:10-01:19,0
01:20-01:29,0
01:30-01:39,0
01:40-01:49,0
01:50-01:59,0
02:00-02:09,0
02:10-02:19,0
02:20-02:29,0
02:30-02:39,0
02:40-02:49,0
02:50-02:59,0
03:00-03:09,0
03:10-03:19,0
03:20-03:29,0
03:30-03:39,0
03:40-03:49,0
03:50-03:59,0
04:00-04:09,1
04:10-04:19,7
04:20-04:29,13
04:30-04:39,39
04:40-04:49,128
04:50-04:59,1061
05:00-05:09,2371
05:10-05:19,4453
05:20-05:29,7460
05:30-05:39,11589
05:40-05:49,16920
05:50-05:59,24405
06:00-06:09,34417
06:10-06:19,47829
06:20-06:29,66364
06:30-06:39,92998
06:40-06:49,128574
06:50-06:59,174586
07:00-07:09,226225
07:10-07:19,287482
07:20-07:29,354012
07:30-07:39,422017
07:40-07:49,492558
07:50-07:59,553253
08:00-08:09,585659
08:10-08:19,586619
08:20-08:29,573060
08:30-08:39,530751
08:40-08:49,456192
08:50-08:59,394446
09:00-09:09,351914
09:10-09:19,308925
09:20-09:29,270002
09:30-09:39,233233
09:40-09:49,192802
09:50-09:59,161765
10:00-10:09,142963
10:10-10:19,129634
10:20-10:29,120911
10:30-10:39,114878
10:40-10:49,109463
10:50-10:59,105369
11:00-11:09,103369
11:10-11:19,102200
11:20-11:29,100654
11:30-11:39,99620
11:40-11:49,98494
11:50-11:59,98631
12:00-12:09,100425
12:10-12:19,102869
12:20-12:29,104809
12:30-12:39,105593
12:40-12:49,105953
12:50-12:59,106198
13:00-13:09,106611
13:10-13:19,107500
13:20-13:29,107347
13:30-13:39,106529
13:40-13:49,104816
13:50-13:59,103712
14:00-14:09,104693
14:10-14:19,105990
14:20-14:29,106595
14:30-14:39,106318
14:40-14:49,105270
14:50-14:59,104720
15:00-15:09,105218
15:10-15:19,108397
15:20-15:29,110953
15:30-15:39,113984
15:40-15:49,117953
15:50-15:59,120368
16:00-16:09,124280
16:10-16:19,130746
16:20-16:29,135635
16:30-16:39,142320
16:40-16:49,152684
16:50-16:59,163475
17:00-17:09,188929
17:10-17:19,240369
17:20-17:29,270831
17:30-17:39,296736
17:40-17:49,350156
17:50-17:59,373985
18:00-18:09,381933
18:10-18:19,419175
18:20-18:29,438798
18:30-18:39,426909
18:40-18:49,406219
18:50-18:59,374621
19:00-19:09,333973
19:10-19:19,301010
19:20-19:29,269282
19:30-19:39,237121
19:40-19:49,210056
19:50-19:59,185152
20:00-20:09,167199
20:10-20:19,157360
20:20-20:29,147234
20:30-20:39,139460
20:40-20:49,134331
20:50-20:59,127510
21:00-21:09,121475
21:10-21:19,119805
21:20-21:29,115584
21:30-21:39,109677
21:40-21:49,102273
21:50-21:59,92517
22:00-22:09,84769
22:10-22:19,77789
22:20-22:29,66074
22:30-22:39,53094
22:40-22:49,40666
22:50-22:59,28539
23:00-23:09,18450
23:10-23:19,11182
23:20-23:29,5756
23:30-23:39,2446
23:40-23:49,778
23:50-23:59,0
